City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
375,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
377,Ambovombe,MG,75.42,moderate rain,-25.1667,46.0833,RELAHARA
386,Payo,ID,72.54,overcast clouds,-3.7508,103.6372,Mess keban agung
391,Whyalla,AU,76.3,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
395,Santa Isabel,BR,83.98,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
400,Bull Savanna,JM,80.01,clear sky,17.8868,-77.5902,Big Red's
401,Jalingo,NG,82.92,clear sky,8.8833,11.3667,Debright Motel
413,Ambajogai,IN,70.32,scattered clouds,18.7333,76.3833,Hotel Krushnai
425,Axim,GH,81.21,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
433,Santiago Del Estero,AR,84.15,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
434,Sibolga,ID,75.61,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
435,Popondetta,PG,74.44,moderate rain,-8.7537,148.2534,Timos Transit House
436,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
437,Puerto Leguizamo,CO,84.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
439,Tabou,CI,81.5,overcast clouds,4.423,-7.3528,hotêl doufoulougou
446,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
449,Buchanan,LR,82.36,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
450,Miandrivazo,MG,77.83,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
452,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
453,Garowe,SO,73.56,overcast clouds,8.4054,48.4845,Curubo Hotel
457,Ahipara,NZ,72.37,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
458,Palu,ID,75.58,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
463,Terra Santa,BR,75.36,moderate rain,-2.1042,-56.4869,Hotel Sarah
469,Vilhena,BR,75.42,broken clouds,-12.7406,-60.1458,Hotel Mirage
470,Ranong,TH,75.25,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
477,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
487,Dhali,IN,77.05,broken clouds,10.5,77.1667,கனகு பார்ம்ஸ்
490,Coihaique,CL,83.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
493,Makakilo City,US,73.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
495,Antalaha,MG,76.59,broken clouds,-14.9003,50.2788,Hotel Vitasoa
497,Mudon,MM,74.16,scattered clouds,16.2578,97.7164,Motel Mudon
502,Samarai,PG,81.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
505,Hobyo,SO,76.78,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
510,Japura,ID,72.59,light rain,-0.3167,102.35,Rumah mbah Jamah
514,Rawson,AR,75.96,few clouds,-43.3002,-65.1023,Hosteria Sampedro
519,Pombas,CV,73.18,clear sky,17.1503,-25.0201,Paul Paradis
520,Sambava,MG,75.99,light rain,-14.2667,50.1667,Melrose
527,Vargem Alta,BR,80.26,scattered clouds,-20.6714,-41.0069,Pousada Mont Serrat
528,Bonanza,NI,83.68,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
529,Kudahuvadhoo,MV,82.11,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
536,Lahat,ID,72.3,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
537,Meulaboh,ID,77.0,overcast clouds,4.1363,96.1285,Kost Pria
541,Esmeraldas,BR,75.31,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
547,Laem Sing,TH,84.15,scattered clouds,12.4816,102.0738,Laemsing Whitehouse Resort
553,Gladstone,AU,71.53,few clouds,-23.85,151.25,Highpoint International Hotel
556,Panaba,MX,79.75,scattered clouds,21.2833,-88.2667,Hotel California
557,Galle,LK,77.58,overcast clouds,6.0367,80.217,Amangalla
559,Kalmunai,LK,76.32,light rain,7.4167,81.8167,VS Villa
562,Vanimo,PG,77.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
570,Gemena,CD,79.3,broken clouds,3.25,19.7667,Hôtel Goshen
571,Alugan,PH,78.82,scattered clouds,12.2188,125.4808,JM Lodge
573,Abeche,TD,72.81,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
574,Emerald,AU,70.34,scattered clouds,-23.5333,148.1667,The Irish Village
576,Kilindoni,TZ,81.41,overcast clouds,-7.9139,39.6668,Bustani B&B
577,Cruz Alta,BR,80.58,clear sky,-28.6386,-53.6064,Hotel Linassi
579,Qui Nhon,VN,70.54,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
581,Broken Hill,AU,71.55,clear sky,-31.95,141.4333,Royal Exchange Hotel
582,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
584,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
589,Port Keats,AU,77.95,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
594,Bubaque,GW,78.01,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
595,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
604,Terenos,BR,78.51,light rain,-20.4422,-54.8603,Rancho Pitzer
610,Soure,BR,79.36,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
615,Rancho Palos Verdes,US,76.08,clear sky,33.7445,-118.387,Terranea Resort
617,Balabac,PH,80.46,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
618,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
619,Barahona,DO,80.02,scattered clouds,18.2085,-71.1008,Hotel Caribe
620,Ciudad Dario,NI,83.01,clear sky,12.7314,-86.124,"Barrio Edén, Ciudad Darío"
625,Kroya,ID,80.19,light rain,-7.6331,109.2461,RUSTANTO Fam
627,Pauini,BR,83.07,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
631,Sao Jose Da Coroa Grande,BR,84.22,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
635,Gizo,SB,83.08,overcast clouds,-8.103,156.8419,Imagination Island
637,Mananjary,MG,78.6,moderate rain,-21.2167,48.3333,Vahiny Lodge
641,Madang,PG,75.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
646,Sungai Padi,TH,80.38,overcast clouds,6.0851,101.8766,237บอล&บาส
648,Djenne,ML,84.54,clear sky,13.9061,-4.5533,Hôtel Chez Baba
658,New Amsterdam,GY,80.76,light rain,6.25,-57.5167,Little Rock Suites
659,Ugoofaaru,MV,81.43,broken clouds,5.6667,73.0,Ungoofaaru Inn
663,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
665,Richards Bay,ZA,72.16,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
668,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
