City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,Riohacha,11.5444,-72.9072,77.0,77,0,14.34,CO,2022-02-05 00:49:54
184,Muskegon,43.3,-86.1334,18.9,80,100,4.61,US,2022-02-05 00:49:55
185,Canberra,-35.2835,149.1281,68.45,56,75,13.8,AU,2022-02-05 00:46:40
186,Oranjemund,-28.55,16.4333,63.27,87,2,11.36,NA,2022-02-05 00:49:55
187,Baymak,52.5933,58.3225,14.09,98,100,5.03,RU,2022-02-05 00:49:56
188,Muravlenko,63.7898,74.523,4.66,97,81,13.71,RU,2022-02-05 00:49:56
189,Dingle,10.9995,122.6711,76.64,84,98,13.29,PH,2022-02-05 00:49:56
190,Mount Gambier,-37.8333,140.7667,71.51,49,40,14.97,AU,2022-02-05 00:49:57
191,Sokol,59.4617,40.1206,-6.27,100,100,2.42,RU,2022-02-05 00:49:57
192,Deputatskiy,69.3,139.9,-28.91,100,62,2.48,RU,2022-02-05 00:49:57
193,Coahuayana,18.7333,-103.6833,83.68,71,5,2.1,MX,2022-02-05 00:49:58
194,Davila,18.4726,120.5763,76.98,78,39,26.11,PH,2022-02-05 00:49:58
195,Thinadhoo,0.5333,72.9333,81.55,74,100,11.7,MV,2022-02-05 00:49:59
196,Hanzhong,33.0728,107.0303,39.79,75,100,2.37,CN,2022-02-05 00:49:59
197,Mazamari,-11.3258,-74.5308,71.2,94,57,1.99,PE,2022-02-05 00:49:59
198,Sinaloa,25.0,-107.5,73.85,46,0,4.43,MX,2022-02-05 00:50:00
199,Chara,56.9064,118.2631,-14.91,86,91,1.21,RU,2022-02-05 00:50:00
200,Yarada,17.65,83.2667,71.92,100,40,2.3,IN,2022-02-05 00:50:01
201,Zaragoza,41.6561,-0.8773,53.02,66,0,11.01,ES,2022-02-05 00:50:01
202,Fort Nelson,58.8053,-122.7002,-9.81,77,100,2.3,CA,2022-02-05 00:45:21
203,San Cristobal,7.7669,-72.225,73.58,91,59,1.77,VE,2022-02-05 00:50:02
204,Mahebourg,-20.4081,57.7,79.25,86,88,19.17,MU,2022-02-05 00:50:02
205,Bethel,41.3712,-73.414,32.47,85,100,5.75,US,2022-02-05 00:50:03
