City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
390,Iglesias,39.3114,8.535,47.79,86,100,5.93,IT
391,Sambava,-14.2667,50.1667,74.95,89,99,3.98,MG
392,Port Hueneme,34.1478,-119.1951,77.2,15,0,13.8,US
393,Caravelas,-17.7125,-39.2481,77.79,79,100,8.28,BR
394,Hokitika,-42.7167,170.9667,64.17,58,100,8.05,NZ
395,Half Moon Bay,37.4636,-122.4286,67.5,51,0,11.5,US
396,Mumford,5.2618,-0.759,80.11,85,8,7.65,GH
397,Nice,44.0,7.25,38.03,78,9,4.56,FR
398,San Cristobal,7.7669,-72.225,73.58,90,79,2.62,VE
399,Abengourou,6.7297,-3.4964,75.42,84,17,4.34,CI
400,Mehamn,71.0357,27.8492,20.84,87,21,18.28,NO
401,Bonavista,48.6499,-53.1147,43.12,99,100,7.36,CA
402,Jalu,29.0331,21.5482,55.74,48,0,5.88,LY
403,Kikwit,-5.041,18.8162,70.47,94,56,0.4,CD
404,Vostok,46.4856,135.8833,-10.12,98,100,3.11,RU
405,Abu Dhabi,24.4667,54.3667,69.91,70,0,1.99,AE
406,Mahajanga,-15.7167,46.3167,79.79,80,100,11.68,MG
